"","SERIALNO","TRIWALES","POINT","ADDRESS","SOCDONE","INTDATE","STRTIME","FINTIME","INTLEN","INTLEN1","SINTLEN","WTFACTOR","POSTCODE","UACODE","UANAME","CONCODE","CONNAME","WARDCODE","WARDNAME","WELSHSPK","POPDEN","WREADPAP","WHPAPER1","WWHPAPF1","WWHPAPF2","WHPAPER2","WHPAPER3","WHTVFW01","WHTVFW02","WHTVFW03","WHTVFW04","WHTVFW05","WHTVFW06","WHTVFW07","WHTVFW08","WHTVFW09","WHTVFW10","WHTVFW11","BBC1WALE","BBC1OTHR","BBC2","HTVWALES","ITVOTHER","CHANNEL4","S4C","CHANNEL5","SKYNEWS","OTHCHANL","TVNEVER","TVRGNEWS","ELREGON","ELREGW2","POLLINGE","REGISTSR","REFSTUD","PTYTHNK","PTYCLS","IDSTRNG","PARTYID","VOTED","VOTECOD1","VOTECOD2","VOTECOD3","VOTECOD4","VOTECOD5","WHENDECD","VOTE","YVOTCLS","PTYPREF","OTHSPEC8","SCWBRGE","VOTESWC","VOTESWL","DFWNSCW","DFWNGE","COALITIN","COALITW","VOTESYST","CONFEEL","LABFEEL","LDFEEL","PCFEEL","MORGANFM","NATCAPAB","SNHSIESW","SNHSWHSW","EDSTIESW","EDSTWHSW","SLIVIESW","SLIVWHSW","TAXSPEND","BPRIORF1","BPRIORF2","ECPOLICY","EUROREF","GOVTWORK","LOSETCH","VOTEINTR","LOSTCHAM","COOPPAAS","COOPHOC","IMPGSCTP","IMPGWEAS","UKINTNAT","NATINNAT","SRSOCCL1","SRSOCCL2","SRSOCCL","NATCLASS","NATID","IDENT1","IDENT2","IDENT3","FLAGUJ","FLAGNAT","WALEPARL","WALEPAR2","WCONRFVW","WLABRFVW","WLDRFVW","WPCRFVW","VOTESYSW","WALSHIND","INDEPENT","DOESINFL","OUGHINFL","INFL10YR","OUDEFOOD","OUDEBUGR","OUDEBENF","LEAVEUK2","VOICEUK3","SAYINGV3","IMPRVED3","WNANHS","WNAECON2","PREAM","RTXSPD","NLBTXSPD","SWLTXSPD","PCTXSPD","CONTXSPD","LDTXSPD","SCDONE","WLLIVLAN","WELSHDIF","RWELSHSP","RSEX","RAGE","RAGECAT","RSEXAGE","NATIONU1","NATIONU2","NATIONU3","NATIONU4","NATIONU5","NATIONU6","NATIONU7","NATIONU8","NATIONU9","BNATIONU","BESTNATU","RACEORI2","RELIGION","RELIGSUM","FAMRELIG","RLFAMSUM","CHATTEND","RBORN2","RLIVELS2","LIVWASC2","LIVEAREA","TENURE","TENURE2","TENURE5","MARSTAT2","MARSTAT","MARRIED","RECONACT","SECONACT","R2LASTJB","JOB","MAKEDO","TRAIN","R2EMPLYE","R2SUPMN2","R2OCSEC2","R2EMPWRK","EMPMAKE","R2JBHRSI","R2JBHRCL","R2PARTFI","R2ECONPS","R2SEGGP2","R2SOCCL2","INFO","SOC","R2SOC","R2SOC2","RINDEXNO","RES2000","RNSSEC","RSECFLAG","RSEG","RSC","RSOCSTAT","SOC2000","XSOC2000","INDEXNO","ES2000","NSSEC","SECFLAG","SEG5","SC","SOC90","SOCSTATU","ASOC90","R2EMPSTA","R2SIC92","R2SICGP","R2MINGRP","R2SMAJGP","R2MAJGRP","R2SEG2","R2SEG","R2SEGGRP","R2SOCCLS","R2RGCLAS","R2GHCLAS","R2GHGRP","OEMPSTAT","P2LASTJB","JOB2","MAKEDO2","TRAIN2","P2EMPLYE","P2SUPMN2","P2OCSEC2","P2EMPWRK","EMPMAKE2","P2JBHRSI","P2JBHRCL","P2PARTFI","P2ECONPS","P2SEGGP2","P2SOCCL2","INFO2","P2SOC","P2SOC2","P2SOC3","PINDEXNO","PES2000","PNSSEC","PSECFLAG","PSEG","PSC","PSOCSTAT","P2EMPSTA","P2SIC92","P2SICGP","P2MINGRP","P2SMAJGP","P2MAJGRP","P2SEG2","P2SEG","P2SEGGRP","P2SOCCLS","P2RGCLAS","P2GHCLAS","P2GHGRP","OEMPSTA2","UNIONSA2","UNIONSA","MAININC","HHINCOME","SCHQUAL","SCHQFW1","SCHQFW2","SCHQFW3","SCHQFW4","EDQUAL1","EDQUAL2","EDQUAL3","EDQUAL4","PSCHQUAL","PSCHQF01","PSCHQF02","PSCHQF03","PSCHQF04","PSCHQF05","PSCHQF06","PSCHQF07","PSCHQF08","PSCHQF09","PSCHQF10","PSCHQF11","PSCHQF12","PSCHQF13","PSCHQF14","PSCHQF15","PSCHQF16","PSCHQF17","PSCHQF18","PSCHQF19","EDQUAL6","EDQUAL10","EDQUAL11","EDQUAL12","EDQUAL13","EDQUAL14","EDQUAL15","EDQUAL16","EDQUAL17","EDQUAL18","EDQUAL19","EDQUAL20","EDQUAL21","EDQUAL22","EDQUAL23","EDQUAL24","EDQUAL25","EDQUAL26","EDQUAL27","HEDQUAL","INTERNT","WWWUSE","VOTE97","REFVOTEW","VOTSW99C","VOTSW99L","PHONE","PHONEBCK","STABLE","DATEINTD","DATEINTM","DATEINTY","SELFCOMP","INTNO","OUTCOME","UNOUT","TNC","LANGINT","DUNO","DUSEL","PERSNO","PERSSEL","CARDNO01","INTERV01","BATCH01","LANGUAGE","FAIRSHAR","RICHLAW","TUNTNEED","PRIVENT","PUBLCOWN","GOVRESP1","NLBINTWC","NLBINTMC","NLBINTEN","NLBINTSW","NLBINTWL","SWLINTWC","SWLINTMC","SWLINTEN","SWLINTSW","SWLINTWL","NATINTWC","NATINTMC","NATINTEN","NATINTSW","NATINTWL","CONINTWC","CONINTMC","CONINTEN","CONINTSW","CONINTWL","LDWINTWC","LDWINTMC","LDWINTEN","LDWINTSW","LDWINTWL","MAIN","SC2","LEFTRIGH","CONSTPRE","TRIIDS"
"1",101,0,1,1,1,"23062001","12:12:17","12:48:22",36,36,36,1.1128,"LL65","NA","Isle of Anglesey",569,"YNYS MON CO CONST & ACONST","NANE","Maeshyfryd",47.9089748199817,279.5242662,2,-1,-1,-1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,NA,1,1,2,NA,3,2,2,10,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,0,NA,3,2,2,1,1,5,2,2,2,2,2,3,2,2,2,3,2,3,2,4,2,1,3,1,2,2,3,4,3,3,2,2,4,2,3,2,1,5,9,27,3,1,4,2,8,4,4,4,1,1,2,3,3,1,3,2,3,3,1,3,3,3,2,1,2,4,4,5,8,4,1,3,2,2,1,36,3,3,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,9,2,2,2,2,7,2,2,28,28,9,4,10,2,2,1,8,8,2,"Assistant engineer","Road building surveying and general  civil engineering","Nvq level 5 constructional engineering",1,2,1,4,"Build roads",75,4,1,11,8,8,NA,210,210,"2.1.2.1",7079,6,3.1,0,4,1,1,"2.1.2.1",2121,7079,6,3.1,0,4,1,210,1,NA,8,45,6,21,3,2,20,17,9,9,9,99,9,2,-2,"","","",NA,NA,NA,NA,"",-2,-2,-2,11,-2,-2,NA,-2,-2,"-2,skp",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,NA,7,2,2,NA,NA,NA,NA,"","","","",1,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","",2,2,2,2,2,0,NA,1,1,1,NA,NA,NA,61,554,51,NA,4,1,1,NA,2,1,1,554,2696,1,2,1,5,1,3,1,3,2,2,3,3,3,2,2,3,3,3,2,4,2,1,1,2,1,3,3,2,3,3,3,3,1,1,2.5,2,1
"2",103,0,1,3,1,"18062001","14:17:43","14:47:08",30,30,30,0.5564,"LL65","NA","Isle of Anglesey",569,"YNYS MON CO CONST & ACONST","NANH","Morawelon",47.9089748199817,279.5242662,2,-1,-1,-1,NA,NA,1,4,3,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,1,2,NA,2,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,2,2,4,4,2,2,1,5,3,2,5,8,2,4,3,8,NA,3,3,3,2,3,5,1,3,1,1,2,2,3,3,3,2,2,2,-1,2,1,4,21,1,10,3,3,4,3,5,3,3,3,2,3,1,2,1,1,2,2,2,1,3,1,1,3,3,1,1,10,10,3,11,1,1,2,4,3,1,43,3,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,9,0,5,1,3,7,3,2,8,8,3,2,3,4,3,2,5,-1,2,"Plasterer","Plastering walls","6 year app.",1,3,3,5,"Hospital maintenance",40,4,1,7,4,4,NA,502,502,"5.3.2.1",NA,7,13.3,0,9,3.2,0,"5.3.2.1",5321,NA,7,13.3,0,9,3.2,502,0,NA,9,45,6,50,12,5,12,9,5,3,4,9,5,1,-2,"","","",NA,NA,NA,NA,"",-2,-2,-2,-1,-2,-2,NA,-2,-2,"-2,skp",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,NA,4,1,2,NA,NA,NA,NA,"","","","",1,4,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","",3,2,2,2,1,2,2,2,NA,1,NA,NA,NA,61,554,51,NA,1,1,1,NA,1,NA,1,554,1092,1,5,1,1,5,1,1,3,2,4,2,2,3,2,4,2,4,2,2,3,2,1,4,2,4,4,4,2,2,3,3,3,1,1,1.66666666666667,2,3
"3",104,0,1,4,1,"20062001","12:18:56","12:49:50",31,31,31,0.5564,"LL65","NA","Isle of Anglesey",569,"YNYS MON CO CONST & ACONST","NAMR","Kingsland",47.9089748199817,279.5242662,1,5,11,0,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,1,2,NA,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,0,NA,4,3,1,1,2,3,2,2,4,2,1,4,1,3,1,3,1,3,1,3,2,2,2,2,4,3,3,4,3,2,3,3,4,2,3,1,3,19,5,21,3,2,4,3,5,4,3,1,1,2,4,3,2,2,2,2,3,3,1,3,3,3,3,1,3,1,1,98,1,1,1,2,3,1,1,45,4,4,8,1,NA,NA,NA,NA,NA,NA,NA,8,8,9,0,5,5,3,7,2,1,NA,45,2,1,2,4,3,2,3,-1,-1,"Customer services clerk","serve the public","none",1,3,1,3,"Ferry co",35,4,1,1,3,3,NA,430,430,"7.2.1.2",NA,7,7.2,0,6,3.1,0,"7.2.1.2",7212,NA,7,7.2,0,6,3.1,430,0,NA,9,61,9,43,10,4,9,6,4,3,3,3,2,1,-2,"","","",NA,NA,NA,NA,"",-2,-2,-2,-1,-2,-2,NA,-2,-2,"-2,skp",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,NA,1,7,1,1,2,NA,NA,"","","","",1,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","",4,1,1,2,1,2,2,1,1,1,NA,NA,NA,61,554,51,NA,3,1,1,NA,1,NA,1,554,1084,1,4,1,4,4,2,4,2,1,2,2,2,2,1,2,2,2,3,2,4,2,1,3,1,2,3,3,2,2,2,2,3,1,1,2.16666666666667,2,2
"4",106,0,1,6,1,"26062001","11:09:13","11:39:39",30,30,30,1.1128,"LL65","NA","Isle of Anglesey",569,"YNYS MON CO CONST & ACONST","NAMR","Kingsland",47.9089748199817,279.5242662,1,5,0,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,1,2,NA,3,2,1,NA,NA,NA,NA,NA,4,5,98,NA,"",1,98,98,4,4,8,8,8,3,3,3,3,8,2,3,8,2,8,2,8,3,3,2,8,8,2,2,2,8,3,4,3,3,3,2,4,2,3,8,3,4,6,14,3,2,4,3,8,8,8,8,8,3,3,8,3,2,2,4,4,3,1,3,3,3,3,1,5,2,3,3,98,4,1,2,2,1,2,32,2,10,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,9,0,5,0,5,-1,2,1,NA,1,2,1,2,1,1,1,3,3,-1,"Bar person","Serve behind the bar","none",1,3,1,3,"Golf club",25,3,2,2,5,5,NA,622,622,"9.2.2.5",2472,7,13.1,0,7,4,0,"9.2.2.5",9225,2472,7,13.1,0,7,4,622,0,NA,9,92,15,62,16,6,10,7,6,4,5,10,5,1,-2,"","","",NA,NA,NA,NA,"",-2,-2,-2,5,-2,-2,NA,-2,-2,"-2,skp",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,NA,1,5,1,2,NA,NA,NA,"","","","",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","",4,2,2,2,8,2,2,1,1,1,NA,NA,NA,61,554,51,NA,4,1,1,NA,2,2,1,554,2518,1,4,2,4,3,3,2,3,2,2,3,3,3,2,2,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,2.33333333333333,2,2
"5",108,0,1,8,1,"26062001","10:27:19","10:53:26",26,26,26,1.1128,"LL65","NA","Isle of Anglesey",569,"YNYS MON CO CONST & ACONST","NANE","Maeshyfryd",47.9089748199817,279.5242662,1,2,0,0,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,1,1,2,NA,2,2,2,11,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,0,NA,3,2,1,1,2,4,1,3,3,8,1,2,2,2,2,8,NA,4,1,2,3,2,3,1,1,1,4,2,3,3,3,2,4,8,3,NA,5,9,98,NA,2,2,2,3,5,4,8,2,2,8,4,2,1,1,5,2,4,3,1,3,1,1,1,1,5,1,1,1,1,2,1,2,2,3,1,40,3,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,9,2,2,2,2,6,2,2,8,8,3,2,3,1,1,1,3,10,-1,"Warehouseman","Check goods in the wagons","Validation",1,3,1,5,"Supermarket",31,4,1,1,6,6,NA,931,931,"9.1.4.9",25054,7,13.4,0,10,4,0,"9.1.4.9",9149,25054,7,13.4,0,10,4,931,0,NA,9,52,7,93,22,9,14,11,7,5,6,10,5,1,-2,"","","",NA,NA,NA,NA,"",-2,-2,-2,8,-2,-2,NA,-2,-2,"-2,skp",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,NA,1,4,2,NA,NA,NA,NA,"","","","",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","",7,1,1,2,0,0,NA,1,1,2,NA,NA,NA,61,554,51,NA,3,1,1,NA,2,1,1,554,2519,1,4,1,5,5,5,1,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1.83333333333333,4,3
"6",109,0,1,9,1,"18062001","16:04:42","16:34:54",30,30,30,1.1128,"LL65","NA","Isle of Anglesey",569,"YNYS MON CO CONST & ACONST","NAND","London Road",47.9089748199817,279.5242662,1,11,2,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,1,2,NA,1,2,1,NA,NA,NA,NA,NA,1,2,1,NA,"",1,2,2,4,4,2,2,1,5,2,3,3,3,2,5,1,5,1,5,1,4,1,2,1,2,4,1,1,1,1,4,8,5,4,4,2,-1,2,4,1,3,21,19,3,1,5,4,5,4,4,3,2,2,4,2,2,2,2,2,2,3,2,2,3,3,3,1,1,3,3,3,11,1,1,1,3,1,2,73,7,15,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,9,5,3,5,3,7,2,1,NA,20,1,1,1,1,1,1,10,9,-2,"-2,skp,ask partner","-2,skp,ask partner","-2,skp,ask partner",-2,-2,-2,-2,"-2,skp,ask partner",-2,-2,-2,8,-2,-2,NA,-2,-2,"-2,skp,",NA,-2,-2,-2,-2,-2,-2,"8.1.2.4",8124,2047,7,12.4,0,10,4,893,0,NA,NA,-2,NA,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,NA,2,"Plant attendant","Looking after machines in the power indusrty","Hnd eletronic engineering",1,3,2,5,"Power Station",38,4,1,9,5,5,NA,893,893,"8.1.2.4",2047,7,12.4,0,10,4,0,9,40,5,89,19,8,13,10,6,4,5,10,5,1,3,NA,2,97,2,NA,NA,NA,NA,"","","","",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","",7,2,2,2,2,2,2,1,1,1,NA,NA,NA,61,554,51,NA,1,1,1,NA,2,2,1,554,1094,1,4,1,2,3,4,5,3,2,2,3,4,3,2,2,3,4,2,2,3,1,1,4,3,3,4,4,3,3,2,3,3,1,1,3.16666666666667,1,1
"7",110,0,1,10,1,"28062001","12:39:53","13:14:56",35,35,35,1.1128,"LL65","NA","Isle of Anglesey",569,"YNYS MON CO CONST & ACONST","NANP","Trearddur",47.9089748199817,279.5242662,2,-1,-1,-1,NA,NA,1,2,4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,1,0,6,2,6,1,NA,NA,NA,NA,NA,4,2,3,6,"",3,5,6,3,4,2,2,1,4,3,3,2,2,2,3,1,3,1,3,1,4,4,2,2,8,3,2,2,2,2,3,3,3,4,1,4,2,3,8,3,10,14,8,7,1,4,5,5,5,5,3,1,2,3,2,1,4,2,2,3,3,1,3,3,3,3,1,4,6,6,5,7,3,1,3,4,3,1,52,4,4,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,9,0,5,3,1,7,2,2,48,48,1,1,1,1,1,1,3,3,-1,"Moldshop service","maintenance","none",1,3,1,5,"Aluminium smelter",48,4,1,1,4,4,NA,531,531,"5.2.1.2",17196,7,12.3,0,9,3.2,0,"5.2.1.2",5212,17196,7,12.3,0,9,3.2,531,0,NA,9,27,4,53,14,5,12,9,5,3,4,9,5,1,-2,"","","",NA,NA,NA,NA,"",-2,-2,-2,5,-2,-2,NA,-2,-2,"-2,skp",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,NA,1,14,1,1,NA,NA,NA,"","","","",1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","",2,1,1,5,1,5,5,1,1,1,NA,NA,NA,61,554,51,NA,3,1,1,NA,2,1,1,554,2521,1,4,2,4,3,4,4,2,2,3,3,3,2,2,3,3,3,2,2,4,2,2,3,2,2,3,3,2,2,3,3,3,1,1,2.83333333333333,2,2
"8",111,0,1,11,1,"18062001","15:01:07","15:29:07",28,28,28,1.1128,"LL65","NA","Isle of Anglesey",569,"YNYS MON CO CONST & ACONST","NANH","Morawelon",47.9089748199817,279.5242662,1,5,11,0,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,1,5,NA,3,5,1,NA,NA,NA,NA,NA,1,5,98,NA,"",8,5,5,4,4,8,8,8,3,3,3,3,3,2,5,8,3,8,5,1,3,2,3,3,2,4,2,2,2,3,3,3,3,4,4,4,2,3,3,3,21,14,8,3,1,5,4,5,4,3,3,8,3,2,2,1,2,2,2,2,3,3,3,3,3,3,1,1,5,5,5,5,5,1,2,4,2,2,49,4,12,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,9,3,1,3,1,7,2,3,45,45,3,2,3,1,1,1,3,3,-1,"Customer care assistant","Clear tables in a dining aera","none",1,3,1,1,"Fast food outlet",39,4,1,1,5,5,NA,621,621,"9.2.2.4",24997,7,13.1,0,7,4,0,"9.2.2.4",9224,24997,7,13.1,0,7,4,621,0,NA,9,55,8,62,16,6,10,7,6,4,5,10,5,1,-2,"","","",NA,NA,NA,NA,"",-2,-2,-2,5,-2,-2,NA,-2,-2,"-2,skp",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,NA,1,16,2,NA,NA,NA,NA,"","","","",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","",7,2,2,5,8,5,5,1,1,1,NA,NA,NA,61,554,51,NA,1,1,1,NA,2,1,1,554,1095,1,4,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,3,1,2
"9",113,0,1,13,1,"18062001","13:37:04","13:58:04",21,21,21,0.5564,"LL65","NA","Isle of Anglesey",569,"YNYS MON CO CONST & ACONST","NANH","Morawelon",47.9089748199817,279.5242662,1,5,1,0,NA,NA,9,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,1,1,2,NA,3,2,2,4,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,2,2,4,4,2,2,8,3,3,3,3,8,8,5,8,4,8,5,8,3,2,3,8,1,3,2,1,2,3,3,5,3,3,3,1,-1,1,1,3,14,8,23,3,3,5,4,5,4,8,3,1,2,4,2,3,2,4,4,4,3,3,3,3,3,3,1,11,11,11,6,2,5,1,2,3,1,2,38,3,11,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,9,0,5,0,5,-1,2,1,NA,38,3,2,3,3,3,2,10,-1,6,"-1,skp nvr had job","-1,skp nvr had job","-1,skp nvr had job",-1,-1,-1,-1,"-1,skp nvr had job",-1,-1,-1,8,-1,-1,NA,-1,-1,"-1,skp",NA,-1,-1,-1,-1,-1,-1,"Skp,nvr",-1,NA,-1,-1,-1,-1,-1,-1,NA,NA,NA,-1,NA,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,-2,"","","",NA,NA,NA,NA,"",-2,-2,-2,-1,-2,-2,NA,-2,-2,"-2,skp",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,NA,97,97,2,NA,NA,NA,NA,"","","","",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","",7,2,2,2,8,2,2,1,1,2,NA,NA,NA,61,554,51,NA,1,1,1,NA,1,NA,1,554,1093,1,2,1,2,3,3,2,2,2,2,1,1,3,2,3,2,1,1,2,2,3,3,1,2,1,2,3,1,1,2,3,3,1,1,2.83333333333333,1,2
"10",114,0,1,14,1,"14062001","15:12:10","15:49:54",37,37,37,1.1128,"LL65","NA","Isle of Anglesey",569,"YNYS MON CO CONST & ACONST","NAND","London Road",47.9089748199817,279.5242662,1,11,5,0,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,1,1,0,0,NA,0,2,2,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,0,NA,4,4,8,8,8,3,2,3,3,8,2,8,NA,8,NA,2,8,3,3,1,8,8,2,2,2,2,8,8,3,3,8,8,4,2,3,3,3,14,21,4,3,3,8,8,8,8,8,8,8,2,4,2,2,2,2,2,2,2,1,8,8,8,8,1,6,6,6,6,6,6,1,2,4,3,1,29,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,9,0,5,5,3,7,2,1,NA,29,2,1,2,6,5,4,3,-1,-1,"Factory worker","Test circuit breakers","NVQ",1,3,1,4,"Makes electronic devices",37,4,1,1,5,5,NA,850,850,"8.1.3.1",NA,7,12.4,0,10,4,0,"8.1.3.1",8131,NA,7,12.4,0,10,4,850,0,NA,9,31,4,85,19,8,13,10,6,4,5,10,5,1,-2,"","","",NA,NA,NA,NA,"",-2,-2,-2,-1,-2,-2,NA,-2,-2,"-2,skp",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,NA,1,7,1,1,2,NA,NA,"","","","",1,4,10,11,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","",3,2,1,0,0,0,NA,1,1,1,NA,NA,NA,61,554,51,NA,1,1,1,NA,2,2,1,554,1116,1,3,2,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,3,3,3,3,3,3,3,3,3,1,1,2.5,NA,2
